"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A2","1","TSOP38238","","","","TSOP38238:XDCR_TSOP38238",""
"AE1","1","Antenna","","","","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.3mm","~"
"Brd1","1","SSD1306","","","","oled:128x64OLED",""
"BZ1","1","Buzzer_5V","","","","Buzzer_Beeper:MagneticBuzzer_ProSignal_ABT-410-RC",""
"C1","1","10 pF","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","10 pF"
"C2,C3,C4,C6,C7,C8,C10","7","100 nF","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"C5","1","100nF","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"D1","1","LED","","","","LED_THT:LED_D5.0mm",""
"IRLED1","1","IR 940nm","","","","LED_THT:LED_D5.0mm","https://look.ams-osram.com/m/2e6f6e5edf55ddfe/original/SPL-PL90.pdf"
"J1","1","PINHD_1x10_Female","","","","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical",""
"J2","1","JST_02","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",""
"L1","1","BLM21PG331SN1D","","","","Resistor_SMD:R_0805_2012Metric","~"
"PS1","1","IA0305D","","","","Converter_DCDC:step up kraky","https://www.xppower.com/pdfs/SF_IA.pdf"
"Q1","1","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R1,R9","2","1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R2","1","100","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R3,R4,R5,R6","4","10K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"RDM1","1","RDM6300","","","","RDM6300:RDM6300",""
"SW1,SW2,SW3,SW4","4","Push_Button","","","","Button_Switch_THT:SW_PUSH_6mm",""
"SW5","1","SW_Nidec_CAS-120A1","","","","Button_Switch_THT:SW_Slide_SPDT_Angled_CK_OS102011MA1Q","https://www.nidec-components.com/e/catalog/switch/cas.pdf"
"U1","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U2","1","~","","","","esp32-s3:esp32-s3",""
"U3","1","RFM98W-433S2","","","","RF_Module:HOPERF_RFM9XW_THT","https://www.hoperf.com/data/upload/portal/20181127/5bfcdb5e17543.pdf"
"U4","1","MPU6050","","","","PCM_SL_Breakout_Boards:MPU6050_Breakout",""
"U6","1","PN532","","","","Package_DFN_QFN:HVQFN-40-1EP_6x6mm_P0.5mm_EP4.1x4.1mm",""
